Recettes,Ingrédients
Compote de fraises à la verveine.html,"['1  pomme(s)', '125 g fraises', '1 feuille(s) verveine']"
Compote de framboise coco.html,"['1  pomme(s)', '200 g framboises', '2 c. à café noix de coco râpée']"
Compote de framboises.html,"['1  pomme(s)', '200 g framboises']"
Compote de fruits rouges.html,"['1  pomme(s)', '100 g framboises', '100 g fraises']"
Compote de goyaviers et banane.html,"['1  banane(s)', '50 g goyaviers']"
Compote de kaki.html,['1  kaki(s)']
Compote de kiwi.html,"['2  kiwi(s)', '1  pomme(s)']"
Compote de litchi.html,"['2  pomme(s)', '10  litchis']"
Compote de mangue.html,"['150 g mangue', '1  pomme(s)']"
Compote de melon et vanille.html,"['100 g melon', '1  pomme(s)', '½ gousse(s) vanille']"
Compote de myrtilles.html,"['1  pomme', '25 g myrtilles']"
Compote de nectarines.html,['200 g nectarine(s)']
Compote de poire et coing.html,"['1  coing(s)', '1  poire(s)']"
Compote de poire et pruneaux à la vanille.html,"['2  poire(s)', '8  pruneau(x)', '½ gousse(s) vanille']"
Compote de poires.html,"['1  poire(s)', '  jus de citron']"
Compote de pomme et coing.html,"['1  pomme(s)', '1  coing(s)']"
Compote de pomme gingembre et cannelle.html,"['1  pomme(s)', '1 bout gingembre', '1 pincée(s) cannelle']"
Compote de pomme poire et coing.html,"['1  pomme(s)', '1  poire(s)', '1  coing(s)']"
"Compote de pomme, cerises et menthe 🍒.html","['1  pomme(s)', '150 g cerises', '1 feuille(s) menthe']"
Compote de pommes pour bébé.html,"['6  pomme(s)', '1 pincée(s) cannelle', '1 pincée(s) vanille', '½  clémentine(s)']"
Compote de pommes.html,['1  pomme(s)']
Compote de pruneaux.html,"['1  pomme(s)', '50 g pruneau(x)']"
Compote de prunes.html,['200 g prune(s)']
Compote de pêche à la menthe.html,"['200g g pêche(s)', '1 feuille(s) menthe']"
Compote de pêches.html,['200g g pêche(s)']
Compote de raisins.html,"['1  pomme(s)', '100 g raisins']"
Compote d’abricot à la verveine.html,"['150 g abricot(s)', '1 feuille(s) verveine']"
Compote d’abricots secs et pommes.html,"['2  pomme(s)', '100 g abricot(s) sec(s)']"
Compote d’abricots.html,['150 g abricot(s)']
"Compote fraise, rhubarbe, pomme.html","['1 tige(s) rhubarbe', '1  pomme(s)', '8  fraises']"
Compote kiwi banane mangue.html,"['150 g mangue', '1  banane(s)', '1  kiwi(s)']"
Compote papaye ananas.html,"['½  papaye(s)', '½  ananas']"
Compote poire-kiwi biscuitée.html,"['1  poire', '1  kiwi', '2  boudoir(s) pour bébé']"
Compote pomme abricot coco.html,"['1  pomme(s)', '150 g abricot(s)', '1 c. à café noix de coco râpée']"
Compote pomme abricots.html,"['1  pomme(s)', '150 g abricot(s)']"
Compote pomme banane ananas.html,"['1  pomme(s)', '125 g ananas', '1  banane(s)']"
Compote pomme banane cerises.html,"['1  pomme(s)', '1  banane(s)', '150 g cerises']"
Compote pomme banane et cannelle.html,"['1  pomme(s)', '1  banane(s)', '1 pincée(s) cannelle', '  jus de citron']"
Compote pomme banane fraise.html,"['1  pomme(s)', '1  banane(s)', '125 g fraises']"
Compote pomme banane rhubarbe.html,"['1  pomme(s)', '1  banane(s)', '1 tige(s) rhubarbe']"
Compote pomme banane.html,"['1  pomme(s)', '1  banane(s)', '  jus de citron']"
Compote pomme cannelle.html,"['1  pomme(s)', '1 pincée(s) cannelle']"
Compote pomme cerises.html,"['1  pomme(s)', '150 g cerises']"
Compote pomme fraise et basilic.html,"['1  pomme(s)', '125 g fraises', '1 feuille(s) basilic']"
Compote pomme fraise.html,"['1  pomme(s)', '125 g fraises']"
Compote pomme grenade.html,"['3  pomme(s)', '1  grenade']"
Compote pomme kaki.html,"['1  kaki(s)', '1  pomme(s)']"
Compote pomme kiwi mangue.html,"['150 g mangue', '1  pomme(s)', '1  kiwi(s)']"
Compote pomme mûres.html,"['1  pomme(s)', '30 g mûres']"
Compote pomme orange.html,"['1  pomme(s)', '½  orange(s)']"
Compote pomme poire kaki.html,"['1  kaki(s)', '1  pomme(s)', '1  poire(s)']"
Compote pomme poire raisins.html,"['1  pomme(s)', '1  poire(s)', '100 g raisins']"
Compote pomme poire.html,"['1  poire(s)', '1  pomme(s)', '  jus de citron']"
Compote pomme pruneaux coing.html,"['1  pomme(s)', '1  coing(s)', '50 g pruneau(x)']"
Compote pomme pêches.html,"['1  pomme(s)', '200 g pêche(s)']"
Compote pomme rhubarbe et amande.html,"['1  pomme(s)', '1 tige(s) rhubarbe', ""20 g poudre d'amandes""]"
Compote pomme rhubarbe.html,"['1  pomme(s)', '1 tige(s) rhubarbe']"
Compote pomme-clémentine.html,"['2  pomme(s)', '2  clémentine(s)']"
Compote pêches pomme abricots.html,"['1  pomme(s)', '1  pêche(s)', '2  abricot(s)']"
Compote à l’ananas.html,"['2  pomme(s)', '250 g ananas']"
Cookies moelleux banane avoine et fruits secs.html,"['1  banane(s)', ""50 g flocons d'avoine"", '20 g fruits secs']"
Crème banane avocat citron.html,"['½  banane(s)', '½  avocat(s)', '½  citron(s)']"
Crème de banane (au lait infantile).html,"['1 petite(s) banane(s)', '30 mL eau', '3 mesurettes lait infantile', '1 c. à café jus de citron']"
Crème de banane et cerises.html,"['1  petit-suisse', '½  banane(s)', '5  cerises']"
Crème de corossol et citron vert.html,"['100 g corossol', '½  citron vert']"
Crème de riz à la poire.html,"['15 g riz rond', '1  poire(s)', '150 mL lait', '¼ gousse(s)  vanille']"
Crème de sapote noire.html,['1  sapote(s) noire(s)']
Crème dessert (au lait infantile).html,"['150 mL eau', '5 mesurettes lait infantile', '1 c. à café fécule de maïs', '¼ gousse vanille']"
Crème dessert coco litchi.html,"['150 g litchis', '80 g crème de coco', '1 g agar-agar']"
Crêpes aux graines de chia et coco (sans oeuf).html,"['2 c. à soupe graines de chia', '3 c. à soupe eau', '1 c. à soupe huile de coco', '2 c. à soupe farine de coco', '200 g farine', '500 mL lait']"
Cupcakes banane myrtilles.html,"['100 g farine', '2  oeuf(s)', '1  banane(s)', '50 g myrtilles', '2 pincée(s) vanille en poudre', '10 cL crème liquide', '60 g mascarpone']"
C’est l’été,[]
Donuts pomme cannelle.html,"['150 mL jus de pommes', ""140 g farine d'épeautre"", '50 g compote de pommes', '30 g huile(s) végétale(s)', '1 c. à café poudre à lever', '1 pincée vanille', '1 pincée cannelle']"
Douceur de potiron et pomme à la cannelle.html,"['200 g potiron', '3  pomme(s)', '1 c. à café cannelle', '¼ gousse vanille']"
Duo mangue – coco.html,"['100 g fromage blanc', '100 g mangue', '1 c. à soupe noix de coco râpée']"
Délice façon cheesecake au citron.html,"['2  biscuit(s) pour bébé', '100 g fromage blanc', '½  citron(s)']"
Energy balls aux abricots amande et coco.html,"['100 g abricot(s) sec(s)', '50 g amandes', '25 g noix de coco râpée']"
Energy balls aux pruneaux et avoine.html,"['100 g pruneau(x)', '50 g noisettes', ""25 g flocons d'avoine""]"
Energy balls canneberge cajou.html,"['100 g canneberges séchées', '50 g noix de cajou', '  noix de coco râpée']"
Energy balls papaye coco.html,"['100 g papaye(s)', '40 g noix de coco râpée', ""40 g flocons d'avoine"", ""1 c. à soupe purée d'oléagineux""]"
Energy bowl à la banane.html,"['½  banane(s)', '100 g yaourt', ""25 g flocons d'avoine"", '1 c. à café purée de cacahuètes']"
Esquimaux aux framboises (glaces).html,"['3  petit-suisse', '100 g framboises']"
Esquimaux mangue kiwi.html,"['100 g kiwi', '100 g mangue']"
Esquimaux pèche abricot (glaces).html,"['60 mL lait entier ', '50 g abricot(s)', '50 g pêche(s)']"
Far breton aux abricots secs.html,"['250 mL lait', '200 g abricot(s) sec(s)', '2  oeuf(s)', '50 g farine']"
Flan coco-vanille (ou cacao).html,"['240 mL eau', '8 mesurettes lait infantile', '1 g agar-agar', '  crème de coco', '  arôme au choix : vanille, cacao (non sucré) ou caroube en poudre']"
Fondant à la sapote noire.html,"['150 g sapote(s) noire(s)', '1  oeuf(s)', '40 g farine']"
Fraises en morceaux.html,['2  fraises']
Fromage blanc coco & coulis passion.html,"['2 c. à soupe fromage blanc', '1 c. à café noix de coco râpée', '½  fruit(s) de la passion']"
Fruits de Noël.html,"['1  kiwi(s)', '1  kaki(s)', '1  mangue', '10 g noix de coco râpée']"
Gaufres pomme rhubarbe.html,"['150 g compote pomme rhubarbe', '100 g farine', '2  oeuf(s)', '1 c. à café poudre à lever', '1 pincée(s) vanille']"
Gaufres sucrées aux haricots rouges.html,"[""100 g flocons d'avoine"", '100 g haricots rouges', '50 g farine', '20 cL lait', '1 c. à café poudre à lever', ""1 c. à café purée d'oléagineux"", ""1 c. à soupe fleur d'oranger"", '1 c. à soupe miel']"
Gaufres à la banane (sans oeuf).html,"['1  banane', '75 g farine', '100 mL lait', '1 c. à café huile(s) végétale(s)', '1 pincée(s) poudre à lever']"
Gaufres à la compote de pommes.html,"['100 g compote de pommes', '200 g farine', '200 mL lait', '1 c. à café poudre à lever', '1 c. à soupe huile de tournesol', '1 pincée cannelle']"
Gaufres à l’orange.html,"['130 g farine', '100 g compote de pommes', '1  orange(s)', '60 mL lait', '1 c. à café huile(s) végétale(s)', '1 c. à café poudre à lever']"
Glace 100% banane (nicecream).html,['1  banane(s)']
Glace au corossol.html,['500 g corossol']
Glace banane framboises.html,"['100 g banane(s)', '50 g framboises', '30 mL lait']"
Glace mangue coco.html,"['150 g mangue', '50 mL lait de coco']"
Glaces au melon.html,['100 g melon']
Glaces aux fruits (petits sorbets).html,['100 g fruits frais de saison']
Gâteau banane ti’son (à la farine de maïs).html,"['2  banane(s)', '100 g fromage blanc', '50 g farine de maïs', '  vanille']"
Gâteau chouchou banane.html,"['½  chayote(s)', '1  banane(s)', '1  oeuf(s)', '25 g beurre', '1 c. à soupe farine', '½ gousse(s) vanille']"
Gâteau fondant au potimarron.html,"['500 g potimarron', '130 mL lait', '100 g farine semi-complète', '2  oeuf(s)', '5  dattes', '1 c. à café poudre à lever', ""½ c. à café mélange à pain d'épices"", '10 cL crème liquide', '60 g mascarpone', '1 pincée vanille en poudre']"
Gâteau patate à la vanille.html,"['250 g patate(s) douce(s)', '1  oeuf(s)', '½ gousse(s) vanille']"
Gâteau à la grenade.html,"['250 g compote pomme grenade', '80 g farine', '2  oeuf(s)', '1 c. à café poudre à lever', ""½ c. à café fleur d'oranger""]"
Gâteaux aux amandes et groseilles.html,"['100 g farine', ""50 g poudre d'amandes"", '1  oeuf(s)', '10 cl lait', '20 g beurre', '1 c. à café poudre à lever', '125 g groseilles']"
Kiwi en morceaux.html,['1  kiwi(s)']
La banane écrasée révèle tous ses bienfaits !.html,"['1  banane(s)', '1 pincée(s) cannelle']"
Lassi mangue (au lait infantile).html,"['100 g mangue', '1 c. à soupe eau', '1 c. à soupe crème de coco', '2 mesurettes lait infantile']"
Madeleines banane pomme et vanille.html,"['2  oeuf(s)', '100 g farine', '1  banane(s)', '50 g compote de pommes', '1 pincée(s) vanille']"
Madeleines à la pêche.html,"['2  oeuf(s)', '100 g farine', '1  banane(s)', '50 g compote de pêches', '1 pincée(s) vanille en poudre', '1 c. à café poudre à lever']"
Mangue en morceaux.html,['100 g mangue']
Melon en morceaux.html,['  melon']
Milkshake à la framboise.html,"['150 mL lait', '50 g framboises congelées']"
Milkshake d’automne à la banane.html,"['150 mL lait', '½  banane(s)', '2  dattes', '1 c. à café cacao en poudre', '1 c. à café purée de noisettes', '½ c. à café cannelle']"
Milkshake mangue banane et curcuma.html,"['1  banane(s)', '200 g mangue', '1 c. à café curcuma', '200 mL lait']"
Milkshake mangue framboises.html,"['200 g mangue', '200 g framboises', '200 mL lait']"
Milkshake passion banane coco.html,"['½  banane(s)', '1  fruit(s) de la passion', '1 c. à soupe lait de coco', '100 mL lait']"
Mille-feuille fondant aux pommes.html,"['1  pomme(s)', '1  oeuf(s)', '85 g farine', '½ sachet(s) poudre à lever', '10 g cassonade', '85 g fromage blanc']"
Mini cakes au pamplemousse.html,"['1  oeuf(s)', '85 g farine', '30 g cassonade', '85 g fromage blanc', '½ sachet(s) poudre à lever', '½  pamplemousse']"
Mini financiers pistaches abricots.html,"['100 g compote de pommes', ""100 g compote d'abricots"", '60 g farine', '50 g pistaches', '40 g huile(s) végétale(s)', '40 mL lait', '1 c. à café poudre à lever']"
Mini financiers pomme banane orange.html,"['2  oeuf(s)', '100  farine', '1  orange(s)', '1  banane(s)', '50 g compote de pommes', '20 g huile(s) végétale(s)', '1 c. à café poudre à lever']"
Moelleux au chocolat et courgette.html,"['200 g chocolat noir', '1  courgette(s)', '3  oeuf(s)', '50 g cassonade', '80 g farine', '½ sachet(s) poudre à lever']"
Mon premier esquimau (glace à la fraise).html,"['3  petit-suisse(s)', '100 g fraises']"
Mousse au chocolat (sans oeufs).html,"['100 mL jus de pois chiches', '2 c. à soupe purée de noisettes', '1 c. à café cacao en poudre', '20 g sucre']"
Mousse de fruit de la passion.html,"['125 g crème liquide', '100 g lait concentré non sucré', '4  fruit(s) de la passion', '10 g jus de citron', '1 feuille(s) gélatine']"
